year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2011,NUTS,2010,DE91,2,2524.79
2013,NUTS,2010,DE91,2,2618.711
2015,NUTS,2010,DE91,2,3757.516
2017,NUTS,2010,DE91,2,3522.411
2019,NUTS,2010,DE91,2,3601.788
2011,NUTS,2010,DE92,2,791.116
2013,NUTS,2010,DE92,2,804.373
2015,NUTS,2010,DE92,2,882.259
2017,NUTS,2010,DE92,2,841.173
2019,NUTS,2010,DE92,2,915.809
2011,NUTS,2010,DE93,2,279.956
2013,NUTS,2010,DE93,2,299.645
2015,NUTS,2010,DE93,2,282.797
2017,NUTS,2010,DE93,2,273.604
2019,NUTS,2010,DE93,2,267.031
2011,NUTS,2010,DE94,2,287.16
2013,NUTS,2010,DE94,2,304.908
2015,NUTS,2010,DE94,2,397.651
2017,NUTS,2010,DE94,2,396.646
2019,NUTS,2010,DE94,2,458.095
2011,NUTS,2010,DEA,1,6104.753
2013,NUTS,2010,DEA,1,5714.731
2015,NUTS,2010,DEA,1,6014.66
2017,NUTS,2010,DEA,1,6707.351
2019,NUTS,2010,DEA,1,6909.795
2011,NUTS,2010,DEA1,2,2307.115
2013,NUTS,2010,DEA1,2,2009.319
2015,NUTS,2010,DEA1,2,2165.032
2017,NUTS,2010,DEA1,2,2490.352
2019,NUTS,2010,DEA1,2,2547.725
2011,NUTS,2010,DEA2,2,1824.855
2013,NUTS,2010,DEA2,2,1524.539
2015,NUTS,2010,DEA2,2,1640.585
2017,NUTS,2010,DEA2,2,1910.614
2019,NUTS,2010,DEA2,2,1878.39
2011,NUTS,2010,DEA3,2,329.588
2013,NUTS,2010,DEA3,2,362.8
2015,NUTS,2010,DEA3,2,398.223
2017,NUTS,2010,DEA3,2,426.79
2019,NUTS,2010,DEA3,2,505.479
2011,NUTS,2010,DEA4,2,805.347
2013,NUTS,2010,DEA4,2,875.422
2015,NUTS,2010,DEA4,2,858.045
2017,NUTS,2010,DEA4,2,891.36
2019,NUTS,2010,DEA4,2,911.834
2011,NUTS,2010,DEA5,2,837.849
2013,NUTS,2010,DEA5,2,942.481
2015,NUTS,2010,DEA5,2,952.693
2017,NUTS,2010,DEA5,2,988.155
2019,NUTS,2010,DEA5,2,1066.443
2011,NUTS,2010,DEB,1,1469.705
2013,NUTS,2010,DEB,1,1628.269
2015,NUTS,2010,DEB,1,1982.118
2017,NUTS,2010,DEB,1,2032.781
2019,NUTS,2010,DEB,1,2198.766
2011,NUTS,2010,DEB1,2,185.876
2013,NUTS,2010,DEB1,2,193.029
2015,NUTS,2010,DEB1,2,197.312
2017,NUTS,2010,DEB1,2,211.486
2019,NUTS,2010,DEB1,2,264.815
2011,NUTS,2010,DEB2,2,77.126
2013,NUTS,2010,DEB2,2,76.312
2015,NUTS,2010,DEB2,2,68.388
2017,NUTS,2010,DEB2,2,61.72
2019,NUTS,2010,DEB2,2,60.376
2011,NUTS,2010,DEB3,2,1206.703
2013,NUTS,2010,DEB3,2,1358.928
2015,NUTS,2010,DEB3,2,1716.499
2017,NUTS,2010,DEB3,2,1759.495
2019,NUTS,2010,DEB3,2,1873.498
2011,NUTS,2010,DEC,1,148.455
2013,NUTS,2010,DEC,1,152.284
2015,NUTS,2010,DEC,1,182.015
2017,NUTS,2010,DEC,1,242.108
2019,NUTS,2010,DEC,1,239.824
2011,NUTS,2010,DEC0,2,148.455
2013,NUTS,2010,DEC0,2,152.284
2015,NUTS,2010,DEC0,2,182.015
2017,NUTS,2010,DEC0,2,242.108
